threshold,precision,recall,f1_score
0.05,0.2048857368006304,0.99712368168744,0.339924824317699
0.060000000000000005,0.2086571964620745,0.9952061361457335,0.344984213150169
0.07,0.21314959550253668,0.9936081815276446,0.3510019757267852
0.08000000000000002,0.21724210378878073,0.9913710450623202,0.3563878676470588
0.09000000000000001,0.22106316090311517,0.9888143176733781,0.36134306569343067
0.1,0.2246055406093216,0.9872163630552893,0.36595190143347944
0.11000000000000001,0.227790096082779,0.9849792265899648,0.3700102046941593
0.12000000000000001,0.23045791800944315,0.9827420901246404,0.37336085478387565
0.13,0.2331255700820918,0.9801853627356983,0.3766656432299662
0.14,0.23592472620700294,0.9776286353467561,0.38011804908356633
0.15000000000000002,0.23838209982788297,0.973793544263343,0.38300546791527873
0.16000000000000003,0.24108348558265152,0.9699584531799297,0.38618144802137677
0.17000000000000004,0.24374091423033437,0.9645254074784276,0.38914318870479014
0.18000000000000005,0.2468011811023622,0.9616490891658677,0.39279420403367926
0.19,0.24914590450795768,0.9555768616171301,0.3952412425644415
0.2,0.2522078804347826,0.9491850431447747,0.3985239852398524
0.21000000000000002,0.2557777200727084,0.9443911792905082,0.40253371475275845
0.22000000000000003,0.25922013907226477,0.9411952700543305,0.4064872325741891
0.23000000000000004,0.26294534685452753,0.936401406200064,0.4105941704035874
0.24000000000000005,0.2666119021540708,0.933525087887504,0.41476748313809014
0.25000000000000006,0.2702551685602533,0.9274528603387664,0.4185476310665609
0.26000000000000006,0.27416136082866105,0.9220198146372643,0.42264869616173456
0.27,0.27798815418972717,0.9149888143176734,0.42642240095323203
0.28,0.2818379877203407,0.9095557686161713,0.4303318968775989
0.29000000000000004,0.2859163467367145,0.904442313838287,0.4344822292162432
0.30000000000000004,0.289883469114159,0.8983700862895494,0.4383283954467488
0.31000000000000005,0.2932449494949495,0.8906999041227229,0.4412253621467585
0.32000000000000006,0.29708821317288064,0.883668903803132,0.4446767449340624
0.33,0.3006155198944823,0.8740811760945989,0.447370573321338
0.34,0.3051267605633803,0.8654522211569191,0.4511829390203266
0.35000000000000003,0.30857076940823625,0.8549057206775328,0.4534666892693677
0.36000000000000004,0.31326868495742666,0.8465963566634708,0.4573154941735002
0.37000000000000005,0.31812129282169227,0.8398849472674976,0.4614574187884109
0.38000000000000006,0.3231132075471698,0.8318951741770534,0.4654447921323201
0.39000000000000007,0.3270208439247585,0.8223074464685203,0.4679458034009275
0.4000000000000001,0.33098958333333334,0.8124001278363695,0.47034878342122305
0.4100000000000001,0.33564567769477055,0.8040907638223075,0.4736
0.42000000000000004,0.34073769367887013,0.7941834451901566,0.47687583957014007
0.43000000000000005,0.3439786156443444,0.7813998082454459,0.47767900752173487
0.44000000000000006,0.3485549132947977,0.7708533077660594,0.4800477659468604
0.45000000000000007,0.3531426869228478,0.7577500798977309,0.4817636899319313
0.4600000000000001,0.3573518090839107,0.7417705337168424,0.48233582709891937
0.4700000000000001,0.36102287166454894,0.7264301693831895,0.4823342175066313
0.4800000000000001,0.3652743652743653,0.7126877596676254,0.4829976175005415
0.49000000000000005,0.3692804898792312,0.6938318951741771,0.48201598579040855
0.5000000000000001,0.3743816254416961,0.6772131671460531,0.48219365115485263
0.5100000000000001,0.3798306956201693,0.6596356663470757,0.4820740394721476
0.5200000000000001,0.38461538461538464,0.6375838926174496,0.4797979797979798
0.5300000000000001,0.3877221324717286,0.613614573346117,0.47518871426803616
0.5400000000000001,0.39600594858721055,0.5957174816235219,0.47575293517100564
0.5500000000000002,0.4028616141292198,0.5759028443592202,0.47408576690344645
0.5600000000000002,0.4102141680395387,0.5570469798657718,0.47248576850094876
0.5700000000000002,0.4158539634908727,0.5314797059763503,0.4666105499438833
0.5800000000000002,0.42587170614852277,0.5113454777884308,0.46471100784199826
0.5900000000000002,0.43511667615253274,0.4886545222115692,0.46033418636158363
0.6000000000000002,0.4457211974599335,0.4710770214125919,0.45804847731510256
0.6100000000000001,0.4592568448500652,0.4503036113774369,0.4547361626593513
0.6200000000000001,0.4695440306300035,0.43112815596037074,0.44951682772409196
0.6300000000000001,0.48056801195814647,0.41099392777245125,0.4430663221360896
0.6400000000000001,0.49192897497982246,0.3895813358900607,0.43481362582486177
0.6500000000000001,0.5010874293170944,0.3681687440076702,0.42446573323507736
0.6600000000000001,0.5076555023923445,0.3390859699584532,0.4065913010155202
0.6700000000000002,0.5141065830721003,0.3144774688398849,0.3902439024390244
0.6800000000000002,0.5285062713797035,0.2962607861936721,0.37968462011058773
0.6900000000000002,0.5372670807453416,0.2764461489293704,0.36505591897024686
0.7000000000000002,0.5493910690121786,0.2595078299776286,0.3525070544823095
0.7100000000000002,0.5670411985018726,0.24193032917865132,0.33915770609318996
0.7200000000000002,0.5828476269775187,0.22371364653243847,0.3233256351039261
0.7300000000000002,0.6001855287569573,0.20677532758069672,0.30758260042785834
0.7400000000000002,0.6171079429735234,0.19367209971236818,0.29481877888591584
0.7500000000000002,0.6324689966178129,0.17929050814956854,0.2793824701195219
0.7600000000000002,0.6446700507614214,0.1623521891978268,0.25938218023997955
0.7700000000000002,0.6628242074927954,0.14701182486417386,0.24064870520533613
0.7800000000000001,0.6843800322061192,0.13582614253755193,0.22666666666666666
0.7900000000000001,0.7158469945355191,0.12559923298178333,0.2137030995106036
0.8000000000000002,0.7316561844863732,0.11153723234260148,0.19356627842484747
0.8100000000000002,0.759493670886076,0.09587727708533078,0.170261066969353
0.8200000000000002,0.7850746268656716,0.08405241291147332,0.15184757505773672
0.8300000000000002,0.8118466898954704,0.07446468520294024,0.1364168618266979
