threshold,precision,recall,f1_score
0.05,0.2049616066154755,0.9980824544582934,0.34008493956223457
0.060000000000000005,0.20821917808219179,0.995845317992969,0.3444235658229247
0.07,0.2118857765964697,0.9936081815276446,0.3492865970115717
0.08000000000000002,0.21545195581185297,0.9910514541387024,0.3539550279648442
0.09000000000000001,0.2189399293286219,0.9900926813678491,0.35858556629434574
0.1,0.22192724402669153,0.9884947267497604,0.36247509668346417
0.11000000000000001,0.22471419209204108,0.9862575902844359,0.3660301269125845
0.12000000000000001,0.2276356646458672,0.9840204538191115,0.3697388171720204
0.13,0.22969229617429063,0.9805049536593161,0.37219458934853816
0.14,0.23272589217919515,0.9795461808884628,0.3760966930486533
0.15000000000000002,0.2353892353892354,0.9769894534995206,0.3793745346239762
0.16000000000000003,0.2380654738651457,0.973793544263343,0.3825966850828729
0.17000000000000004,0.24074220918245975,0.9702780441035475,0.3857687420584498
0.18000000000000005,0.2434803605924018,0.966762543943752,0.38899247733556225
0.19,0.246443172526574,0.9632470437839565,0.3924734683247607
0.2,0.24894094193869923,0.9578139980824545,0.3951740506329114
0.21000000000000002,0.2517311264989022,0.9527005433045701,0.3982365907421014
0.22000000000000003,0.2548043925875086,0.9491850431447747,0.401758539059858
0.23000000000000004,0.2585634393568682,0.9456695429849792,0.4060934605091608
0.24000000000000005,0.262613656623284,0.9415148609779482,0.41067819056248694
0.25000000000000006,0.2659584127848906,0.9360818152764462,0.4142271248762551
0.26000000000000006,0.269184485790984,0.929370405880473,0.4174562159058283
0.27,0.2722725556813892,0.9220198146372643,0.4204007285974499
0.28,0.2757660167130919,0.9175455417066155,0.4240768094534712
0.29000000000000004,0.28041703550703256,0.9111537232342601,0.4288507821901324
0.30000000000000004,0.2842802650070267,0.9050814956855225,0.43266366205790235
0.31000000000000005,0.2874448208602813,0.8948545861297539,0.43512043512043513
0.32000000000000006,0.2911073825503356,0.8871844039629274,0.4383734701934465
0.33,0.29489097905087647,0.8817513582614254,0.4419703644373248
0.34,0.29873972602739723,0.871204857782039,0.4449159458136119
0.35000000000000003,0.3027008853524599,0.8632150846915948,0.4482243611018918
0.36000000000000004,0.3064386548835074,0.8533077660594439,0.45093734166525923
0.37000000000000005,0.31042988019732204,0.8446788111217641,0.45400669930430304
0.38000000000000006,0.3139562815277444,0.8354106743368488,0.4563945875163684
0.39000000000000007,0.31786857002215113,0.825503355704698,0.458996001776988
0.4000000000000001,0.32231613472940585,0.8165548098434005,0.46219247467438496
0.4100000000000001,0.32758397095059005,0.8072866730584851,0.4660516605166052
0.42000000000000004,0.3322717622080679,0.8002556727388942,0.46957337083919365
0.43000000000000005,0.3360922659430122,0.7916267178012144,0.4718544623297457
0.44000000000000006,0.34007532431301435,0.7791626717801214,0.47348999805787534
0.45000000000000007,0.34211656880996705,0.7635027165228507,0.47250791139240506
0.4600000000000001,0.34640908420586936,0.75071907957814,0.474066599394551
0.4700000000000001,0.350933090578061,0.7392138063279002,0.4759259259259259
0.4800000000000001,0.3550656660412758,0.725790987535954,0.4768503937007874
0.49000000000000005,0.3603428756267184,0.7120485778203899,0.47852233676975947
0.5000000000000001,0.3654975667058231,0.6960690316395014,0.4793133802816901
0.5100000000000001,0.36970118137595553,0.680089485458613,0.4790095666854249
0.5200000000000001,0.3752711496746204,0.663470757430489,0.4793903706269484
0.5300000000000001,0.38038772821381517,0.6458932566315116,0.47879649372186683
0.5400000000000001,0.3887351778656126,0.6286353467561522,0.4804005373061424
0.5500000000000002,0.39542619542619545,0.6078619367209971,0.479153545786623
0.5600000000000002,0.4020641194554238,0.5851709811441355,0.47663673044383703
0.5700000000000002,0.4085747392815759,0.5634387983381272,0.4736700698549167
0.5800000000000002,0.4173209028459274,0.5436241610738255,0.4721721027064539
0.5900000000000002,0.42418725617685304,0.5212527964205816,0.46773731000860336
0.6000000000000002,0.4300632041769717,0.5001597954618089,0.46247044917257685
0.6100000000000001,0.4381533101045296,0.4822627037392138,0.4591510725696029
0.6200000000000001,0.4463399503722084,0.45989133908596996,0.453014323941445
0.6300000000000001,0.4551839464882943,0.434963247043784,0.44484392874652723
0.6400000000000001,0.46335359313550234,0.41418983700862894,0.4373945325683429
0.6500000000000001,0.4756798161623899,0.3969319271332694,0.43275261324041814
0.6600000000000001,0.4868095630667766,0.37743688079258547,0.4252025202520252
0.6700000000000002,0.4966109353818346,0.3512304250559284,0.41145638337701235
0.6800000000000002,0.5066404328578455,0.3291786513263023,0.39907012785741963
0.6900000000000002,0.5265415549597855,0.31383828699264943,0.39327192631157387
0.7000000000000002,0.53904873752202,0.29338446788111217,0.37996688741721857
0.7100000000000002,0.5511254019292604,0.2738894215404283,0.3659265584970111
0.7200000000000002,0.5613540197461213,0.25439437519974434,0.35012095887398287
0.7300000000000002,0.5664335664335665,0.23298178331735378,0.33016304347826086
0.7400000000000002,0.5810344827586207,0.21540428251837648,0.3142923758451854
0.7500000000000002,0.6019417475728155,0.19814637264301693,0.2981485934118779
0.7600000000000002,0.6177105831533477,0.18280600830936403,0.2821208384710234
0.7700000000000002,0.6257594167679222,0.16458932566315115,0.2606275303643725
0.7800000000000001,0.645293315143247,0.15116650687120486,0.24495080269290523
0.7900000000000001,0.6615853658536586,0.13870246085011187,0.22932628797886392
0.8000000000000002,0.6924428822495606,0.1259188239054011,0.2130881557598702
0.8100000000000002,0.705765407554672,0.11345477788430809,0.19548458149779735
0.8200000000000002,0.7313084112149533,0.10003195909236177,0.17599100365476525
0.8300000000000002,0.745945945945946,0.08820709491850431,0.1577593598170906
